实体1,实体2
1002,1001
1003,1004
1006,1005
1007,1008
1010,1009
1012,1011
1018,1017
1020,1019
1022,1021
1027,1028
1002,1001
1018,1017
1031,1032
1039,1038
1055,1054
1025,1026
1056,1057
1058,1059
1060,1061
1065,1064
1067,1066
1067,1066
1067,1066
1092,1093
1135,1136
1139,1140
1151,1152
1060,1061
1191,1190
1235,1236
1250,1251
1254,1255
1270,1271
1277,1278
1284,1283
1301,1302
1092,1093
1273,1197
1324,1325
1345,1346
1348,1347
1386,1387
1391,1390
1402,1403
1429,1428
1439,1438
1452,1453
1089,1459
1475,1476
1251,1484
1492,1491
1496,1495
1502,1503
1523,1522
1528,1527
1010,1009
1536,1535
1538,1539
1562,1563
1475,1476
1578,1579
1589,1346
1601,1602
1644,1643
